note_id,word_alternative,reading,evidence
0b4ef4ba-2ed7-11ef-a183-99ad05e145f0,無い,,vocab_plus
0b4e2904-2ed7-11ef-a183-99ad05e145f0,出来る,,vocab_plus
0b4d4afc-2ed7-11ef-a183-99ad05e145f0,沢山,,vocab_plus
0b7d1fa2-2ed7-11ef-a183-99ad05e145f0,止める,,vocab_plus
0b762972-2ed7-11ef-a183-99ad05e145f0,嬉しい,,vocab_plus
0c5451b6-2ed7-11ef-a183-99ad05e145f0,奴,,vocab_plus
0b6d5df6-2ed7-11ef-a183-99ad05e145f0,凄い,,vocab_plus
0bd6b832-2ed7-11ef-a183-99ad05e145f0,他,,vocab_plus
0bd6b832-2ed7-11ef-a183-99ad05e145f0,外,,vocab_plus
0ba3f172-2ed7-11ef-a183-99ad05e145f0,更に,,vocab_plus
0b9eed44-2ed7-11ef-a183-99ad05e145f0,気付く,,vocab_plus
0b4ad8bc-2ed7-11ef-a183-99ad05e145f0,可愛い,,vocab_plus
0bed3666-2ed7-11ef-a183-99ad05e145f0,頷く,,vocab_plus
0b49ae42-2ed7-11ef-a183-99ad05e145f0,色々,,vocab_plus
0b705e52-2ed7-11ef-a183-99ad05e145f0,酷い,,vocab_plus
0b9ea08c-2ed7-11ef-a183-99ad05e145f0,既に,,vocab_plus
0b4afb8a-2ed7-11ef-a183-99ad05e145f0,奇麗,,vocab_plus
0b4afb8a-2ed7-11ef-a183-99ad05e145f0,綺麗,,vocab_plus
0b50f6fc-2ed7-11ef-a183-99ad05e145f0,昨夜,,vocab_plus
0b4d7cb6-2ed7-11ef-a183-99ad05e145f0,多分,,vocab_plus
0b5f1ebc-2ed7-11ef-a183-99ad05e145f0,駄目,,vocab_plus
0b49f960-2ed7-11ef-a183-99ad05e145f0,美味しい,,vocab_plus
0c1f7cf2-2ed7-11ef-a183-99ad05e145f0,馬鹿,,vocab_plus
0b5d0f46-2ed7-11ef-a183-99ad05e145f0,辛い,,vocab_plus
0b4c681c-2ed7-11ef-a183-99ad05e145f0,素晴らしい,,vocab_plus
0b6baf92-2ed7-11ef-a183-99ad05e145f0,怪我,,vocab_plus
0b780cf6-2ed7-11ef-a183-99ad05e145f0,空く,,vocab_plus
0c1f101e-2ed7-11ef-a183-99ad05e145f0,舐める,,vocab_plus
0c1f101e-2ed7-11ef-a183-99ad05e145f0,嘗める,,vocab_plus
0b974b52-2ed7-11ef-a183-99ad05e145f0,元々,,vocab_plus
0be9ef24-2ed7-11ef-a183-99ad05e145f0,溢れる,,vocab_plus
0b6c78d2-2ed7-11ef-a183-99ad05e145f0,様々,,vocab_plus
0b92ca8c-2ed7-11ef-a183-99ad05e145f0,揃う,,vocab_plus
b9edd900-692e-11ef-95f0-b30e867324a9,捲る,,vocab_plus
0b6a26ea-2ed7-11ef-a183-99ad05e145f0,お陰,,vocab_plus
0b5099c8-2ed7-11ef-a183-99ad05e145f0,真っ直ぐ,,vocab_plus
0b4d3aa8-2ed7-11ef-a183-99ad05e145f0,大分,,vocab_plus
0bb01a24-2ed7-11ef-a183-99ad05e145f0,足元,,vocab_plus
0b9373e2-2ed7-11ef-a183-99ad05e145f0,摑む,,vocab_plus
0b9373e2-2ed7-11ef-a183-99ad05e145f0,掴む,,vocab_plus
0cf89604-2ed7-11ef-a183-99ad05e145f0,ください,ください,jmdict:1184270
0b47fc0a-2ed7-11ef-a183-99ad05e145f0,くん,くん,jmdict:1247260
0b5bab06-2ed7-11ef-a183-99ad05e145f0,ところ,ところ,jmdict:1343100
0b4914dc-2ed7-11ef-a183-99ad05e145f0,余り,あまり,jmdict:1584930
0b54cd68-2ed7-11ef-a183-99ad05e145f0,かかる,かかる,jmdict:1207590
0bb3a798-2ed7-11ef-a183-99ad05e145f0,つく,つく,jmdict:1441400
0b4d6c26-2ed7-11ef-a183-99ad05e145f0,ただいま,ただいま,jmdict:1538960
0b480cfe-2ed7-11ef-a183-99ad05e145f0,頃,ころ,jmdict:1579080
0b718b9c-2ed7-11ef-a183-99ad05e145f0,やって来る,やってくる,jmdict:1012790
0b69cc86-2ed7-11ef-a183-99ad05e145f0,旨い,うまい,vocab_plus
0b69cc86-2ed7-11ef-a183-99ad05e145f0,上手い,うまい,jmdict:1310460
0bbbc2a2-2ed7-11ef-a183-99ad05e145f0,ありがたい,ありがたい,jmdict:1541560
0b4a3d80-2ed7-11ef-a183-99ad05e145f0,お腹,おなか,jmdict:1002610
0b929f08-2ed7-11ef-a183-99ad05e145f0,その内,そのうち,jmdict:1006930
